国家名称,指标名称,年份,数值
阿拉伯世界,农业增加值（占GDP的百分比）,1962,
阿拉伯世界,人均二氧化碳排放量 (公吨),1962,0.760995979
阿拉伯世界,金融部门提供的国内信贷（占GDP的百分比）,1962,18.16868954
阿拉伯世界,人均电力消费量 (千瓦时),1962,
阿拉伯世界,能源使用量（每人当量千克石油）,1962,
阿拉伯世界,商品和服务出口（占GDP的百分比）,1962,
阿拉伯世界,总生育率，每位女性的出生数,1962,6.9644537164699996
阿拉伯世界,GDP增长率（年百分比）,1962,
阿拉伯世界,商品和服务进口（占GDP的百分比）,1962,
阿拉伯世界,工业，增加值（占GDP的百分比）,1962,
阿拉伯世界,通货膨胀率，GDP平减指数（年百分比）,1962,
阿拉伯世界,出生时预期寿命，总年数,1962,48.0086029
阿拉伯世界,人口密度 (每平方公里土地面积的人数),1962,7.168473853
阿拉伯世界,服务业等增加值（占GDP的百分比）,1962,
加勒比小国,农业增加值（占GDP的百分比）,1962,
加勒比小国,人均二氧化碳排放量 (公吨),1962,2.7038747574299995
加勒比小国,金融部门提供的国内信贷（占GDP的百分比）,1962,15.054971343900002
加勒比小国,人均电力消费量 (千瓦时),1962,
加勒比小国,能源使用量（每人当量千克石油）,1962,
加勒比小国,商品和服务出口（占GDP的百分比）,1962,53.285880543699996
加勒比小国,总生育率，每位女性的出生数,1962,5.523020444
加勒比小国,GDP增长率（年百分比）,1962,
加勒比小国,商品和服务进口（占GDP的百分比）,1962,53.54104162
加勒比小国,工业，增加值（占GDP的百分比）,1962,
加勒比小国,通货膨胀率，GDP平减指数（年百分比）,1962,
加勒比小国,出生时预期寿命，总年数,1962,63.27171776229999
加勒比小国,人口密度 (每平方公里土地面积的人数),1962,10.76127223
加勒比小国,服务业等增加值（占GDP的百分比）,1962,
中欧和波罗的海地区,农业增加值（占GDP的百分比）,1962,
中欧和波罗的海地区,人均二氧化碳排放量 (公吨),1962,5.67398699
中欧和波罗的海地区,金融部门提供的国内信贷（占GDP的百分比）,1962,
中欧和波罗的海地区,人均电力消费量 (千瓦时),1962,
中欧和波罗的海地区,能源使用量（每人当量千克石油）,1962,
中欧和波罗的海地区,商品和服务出口（占GDP的百分比）,1962,
中欧和波罗的海地区,总生育率，每位女性的出生数,1962,2.311377783
中欧和波罗的海地区,GDP增长率（年百分比）,1962,
中欧和波罗的海地区,商品和服务进口（占GDP的百分比）,1962,
中欧和波罗的海地区,工业，增加值（占GDP的百分比）,1962,
中欧和波罗的海地区,通货膨胀率，GDP平减指数（年百分比）,1962,
中欧和波罗的海地区,出生时预期寿命，总年数,1962,68.00779332
中欧和波罗的海地区,人口密度 (每平方公里土地面积的人数),1962,84.10284765
中欧和波罗的海地区,服务业等增加值（占GDP的百分比）,1962,
早期人口红利,农业增加值（占GDP的百分比）,1962,
早期人口红利,人均二氧化碳排放量 (公吨),1962,0.623761075
早期人口红利,金融部门提供的国内信贷（占GDP的百分比）,1962,22.6410753
早期人口红利,人均电力消费量 (千瓦时),1962,
早期人口红利,能源使用量（每人当量千克石油）,1962,
早期人口红利,商品和服务出口（占GDP的百分比）,1962,11.15873212
早期人口红利,总生育率，每位女性的出生数,1962,6.1383062
早期人口红利,GDP增长率（年百分比）,1962,4.153832525
早期人口红利,商品和服务进口（占GDP的百分比）,1962,11.41138617
早期人口红利,工业，增加值（占GDP的百分比）,1962,
早期人口红利,通货膨胀率，GDP平减指数（年百分比）,1962,1.942370426
早期人口红利,出生时预期寿命，总年数,1962,46.42609621
早期人口红利,人口密度 (每平方公里土地面积的人数),1962,30.9003593
早期人口红利,服务业等增加值（占GDP的百分比）,1962,
东亚和太平洋,农业增加值（占GDP的百分比）,1962,
东亚和太平洋,人均二氧化碳排放量 (公吨),1962,0.894870616
东亚和太平洋,金融部门提供的国内信贷（占GDP的百分比）,1962,
东亚和太平洋,人均电力消费量 (千瓦时),1962,
东亚和太平洋,能源使用量（每人当量千克石油）,1962,
东亚和太平洋,商品和服务出口（占GDP的百分比）,1962,11.24259232
东亚和太平洋,总生育率，每位女性的出生数,1962,5.547543031
东亚和太平洋,GDP增长率（年百分比）,1962,6.20989184
东亚和太平洋,商品和服务进口（占GDP的百分比）,1962,11.77985919
东亚和太平洋,工业，增加值（占GDP的百分比）,1962,
东亚和太平洋,通货膨胀率，GDP平减指数（年百分比）,1962,
东亚和太平洋,出生时预期寿命，总年数,1962,49.42296055
东亚和太平洋,人口密度 (每平方公里土地面积的人数),1962,43.43765416
东亚和太平洋,服务业等增加值（占GDP的百分比）,1962,
东亚和太平洋（不包括高收入国家）,农业增加值（占GDP的百分比）,1962,40.22258074
东亚和太平洋（不包括高收入国家）,人均二氧化碳排放量 (公吨),1962,0.56166553
东亚和太平洋（不包括高收入国家）,金融部门提供的国内信贷（占GDP的百分比）,1962,
东亚和太平洋（不包括高收入国家）,人均电力消费量 (千瓦时),1962,
东亚和太平洋（不包括高收入国家）,能源使用量（每人当量千克石油）,1962,
东亚和太平洋（不包括高收入国家）,商品和服务出口（占GDP的百分比）,1962,6.919595844460001
东亚和太平洋（不包括高收入国家）,总生育率，每位女性的出生数,1962,6.038600289
东亚和太平洋（不包括高收入国家）,GDP增长率（年百分比）,1962,-0.215937002
东亚和太平洋（不包括高收入国家）,商品和服务进口（占GDP的百分比）,1962,6.035706151880001
东亚和太平洋（不包括高收入国家）,工业，增加值（占GDP的百分比）,1962,29.216751456999997
东亚和太平洋（不包括高收入国家）,通货膨胀率，GDP平减指数（年百分比）,1962,
东亚和太平洋（不包括高收入国家）,出生时预期寿命，总年数,1962,46.620071671800005
东亚和太平洋（不包括高收入国家）,人口密度 (每平方公里土地面积的人数),1962,56.96638677
东亚和太平洋（不包括高收入国家）,服务业等增加值（占GDP的百分比）,1962,31.026108708600002
东亚和太平洋（IDA和IBRD国家）,农业增加值（占GDP的百分比）,1962,40.22258074
东亚和太平洋（IDA和IBRD国家）,人均二氧化碳排放量 (公吨),1962,0.560754346
东亚和太平洋（IDA和IBRD国家）,金融部门提供的国内信贷（占GDP的百分比）,1962,
东亚和太平洋（IDA和IBRD国家）,人均电力消费量 (千瓦时),1962,
东亚和太平洋（IDA和IBRD国家）,能源使用量（每人当量千克石油）,1962,
东亚和太平洋（IDA和IBRD国家）,商品和服务出口（占GDP的百分比）,1962,6.919595844460001
东亚和太平洋（IDA和IBRD国家）,总生育率，每位女性的出生数,1962,6.069916005
东亚和太平洋（IDA和IBRD国家）,GDP增长率（年百分比）,1962,-0.215937002
东亚和太平洋（IDA和IBRD国家）,商品和服务进口（占GDP的百分比）,1962,6.035706151880001
